TABLA 106. PRECIOS MENSUALES DE LOS PRINCIPALES FERTILIZANTES COMERCIALIZADOS EN COLOMBIA  2006 - 2016,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
,,,,,,,,,($/Ton)
Producto,UREA,DAP,KCL,15-15-15,17-6-18-2,18-18-18,13-26-6,10-30-10,10-20-20
Mes,,,,,,,,,
,,,,,,,,,
Diciembre,830494.7580480889,1351421.9891616192,1004644.0750807484,1078771.8541636684,1025221.3818641473,1045331.8799805455,1139105.3997483086,1142627.6504217633,1164617.4014747012
2011,,,,,,,,,
Enero,906861.1426400717,1420652.0607440327,1012523.6878453038,1083994.70483645,1069960.6103490507,1135445.8773118476,1176487.156320378,1220724.8948456114,1182584.9242910892
Febrero,928111.841472533,1464578.6703953713,1006990.4165606716,1102808.3467216494,1107892.9770885478,1142286.1135284153,1204520.8856343876,1274251.3175600187,1211780.7967607104
Marzo,894515.6313911576,1485636.7122607552,1012764.8919125127,1111654.148349267,1102698.3566847283,1165098.259078366,1215284.9558071585,1293356.3675848667,1202474.1032898952
Abril,940157.9437609841,1485582.6178497989,1054864.6690953248,1137437.4821901394,1104332.302903928,1218232.5348717065,1254045.2168767687,1370448.7097001267,1246920.3254758164
Mayo,888656.0905326902,1500607.034837688,1057089.380833819,1152160.1143389323,1119007.8847488412,1202918.4327256246,1262967.2756183746,1332212.899192498,1193548.8685128815
Junio,961980.0757179398,1505448.4039180095,1067701.0069070328,1175604.6890602268,1126923.2850304726,1216951.9465125876,1271555.1860673889,1329587.263333905,1252473.0502254379
Julio,1082104.9623736273,1518202.799094647,1093725.0843287786,1167428.664072436,1155370.8760648267,1214297.2167043318,1274255.8133466004,1345900.0500171292,1255311.0713236495
Agosto,1190993.682845521,1532277.4903122864,1116660.2471214426,1157836.9239367244,1138774.3045809888,1210657.4453330715,1275032.541645006,1363140.4438584927,1291737.8157319308
Septiembre,1178367.8458558577,1527104.1738162197,1106200.3208639605,1182127.3503262156,1146151.1181381803,1214543.5340106643,1276851.8250187675,1351423.2887355678,1233794.9825668272
Octubre,1147286.8776314284,1507548.7543844134,1104285.12989642,1170382.5022608293,1137387.3791749945,1226098.0086290261,1273866.089206367,1354182.2700661002,1296220.937423879
Noviembre,1126677.5097186856,1507770.2664991405,1102562.9539838065,1180456.9852593,1140272.8493939647,1232643.2249246626,1284048.172347501,1355148.8172278092,1290929.0107334526
Diciembre,1145198.6909386672,1511298.0722655293,1172115.8739931062,1249297.6222821528,1179115.3760027145,1296589.06985516,1303491.6832531472,1452802.635589422,1350325.036218071
2012,,,,,,,,,
Enero,1057158.5270096003,1513509.5061843207,1174056.2668806817,1272994.2470348082,1206941.825277117,1299847.593386883,1304845.3674396742,1425246.5401567915,1376455.2175306834
Febrero,993662.3980150549,1458587.999107281,1139658.4007586914,1265549.3791355188,1208513.6713345884,1276304.0141524607,1298092.3327293003,1423007.2841372362,1363042.460248983
Marzo,967152.9358889018,1409903.5891721381,1105229.3678205162,1264016.6571286472,1173256.2938020718,1233888.6259211097,1297918.8440164102,1399666.3174346536,1345909.3134087238
Abril,1023287.0857759702,1365021.617953934,1123763.4978539497,1269828.1307338567,1175349.9751436147,1246333.339224467,1305657.1378670845,1386609.8481117897,1340085.3054343516
Mayo,1145489.9343353056,1332539.9261742572,1089651.3680950524,1270132.3267313095,1183649.0641568827,1218459.4628145248,1303875.2277073744,1407315.7368689445,1357377.9158049703
Junio,1126557.7665192026,1333304.35984284,1087538.4993974923,1270290.9401356897,1186447.7834215225,1234482.2776409215,1301674.8429742118,1390389.1570751525,1348992.9448517691
Julio,1183587.1490612244,1317354.6175200492,1093473.5275698006,1234149.551733191,1184728.9576708062,1232486.4926842644,1302355.7605692304,1373886.2223191883,1337406.836185819
Agosto,1087874.8299470989,1244026.1281507106,1075768.232608883,1241631.3930921156,1188169.9535097703,1190673.6278000171,1300088.2165474975,1384412.5357927098,1352654.5064425152
Septiembre,1010740.2368671583,1258962.2164790565,1044792.37958366,1233144.9567063104,1172920.7984486443,1183914.1810744787,1295517.2977714248,1352892.830894204,1313536.544949439
Octubre,980683.5570772744,1244077.8608965264,1041624.821796151,1193416.2641784886,1166356.6823602417,1160048.2119278472,1295939.8092787832,1364351.612835497,1319803.5408729727
Noviembre,972485.3033291613,1237655.681074674,1035867.1381115008,1193724.6638625406,1153879.3442390028,1165994.0844760416,1283736.5537634408,1359426.4810813805,1314805.4121913796
