TABLA 92.  INDICE DE PRECIOS AL CONSUMIDOR. SUBGRUPOS DEL GRUPO DE GASTO DE ALIMENTOS. 1995 - 2017,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
,,,,,,,,,,,,
Años,   Ene,   Feb,  Mar,  Abr,  May,  Jun,  Jul, Ago,Sept, Oct,Nov,Dic
,,,,,,,,,,,,
CEREALES Y PRODUCTOS DE PANADERIA,,,,,,,,,,,,
1995,57.14894905140532,58.03113244044198,59.44347655499905,62.71869301964218,64.14871596411547,64.75355042444582,65.46569579422928,65.743277036336,65.93209565196025,66.13963139915909,66.07173828424175,66.22583081002873
1996,67.30307259139767,68.291449293876,69.27274593401567,69.74711011070657,69.9226956567056,70.03172861672111,70.22430631233294,70.37157160897728,70.56698132952457,70.68734238928197,70.68167833941104,70.92240045892582
1997,35.82301779437224,36.40145772208642,36.82663578861137,37.53503047420029,38.19398584972816,38.67637226075232,38.83175294951558,39.00267170715519,39.178534395800895,39.53379115238237,40.22099756223084,40.969649971726604
1998,42.03930486834893,43.24287525293973,44.98902932675175,46.88497492586851,47.7619285845591,48.663249016221776,49.3165431458984,49.602159465308006,49.59592967506719,49.58760693673207,49.54472668577267,49.877799391490846
1999,50.296087,50.791618,50.975206,50.747004,50.146901,49.822586,50.015094,50.524026,50.224238,50.199803,50.411408,50.598224
2000,51.036511,51.128856,51.062322,51.124473,51.882401,52.075759,52.297069,52.006356,52.079516,52.156308,52.543905,53.473606
2001,54.330854,55.083979,55.859541,59.617891,62.135267,62.624185,63.140785,63.704796,64.19349,63.67624,63.327808,63.967635
2002,64.436572,65.063315,65.096482,65.95663,66.656107,66.815535,66.940938,67.020049,66.986528,67.16555,67.445901,67.900673
2003,68.331484,68.283193,68.439669,68.999146,69.931374,70.11998,70.277939,70.61044,70.94087,70.618372,70.817475,71.121283
2004,71.426827,71.378682,71.62284,71.986765,73.060411,73.174476,73.629768,74.470538,75.002199,74.8044,75.1255,75.946094
2005,76.812564,77.198998,77.474133,77.521774,78.321837,78.375086,78.956952,78.945938,79.064835,78.996197,79.09593,79.540824
